StopID;DIVA;StopText;Municipality;MunicipalityID;Latitude;Longitude
8592;60201024;Plattensteinergasse;Wien;49000001;48.2113006;16.4787046
8593;60200222;Danzergasse;Wien;49000001;48.2087325;16.4884153
8594;60200808;Lobaugasse;Wien;49000001;48.2054877;16.4867624
8595;60200062;An der Bien;Wien;49000001;48.2069544;16.4804203
8596;60200171;Brockhausengasse;Wien;49000001;48.2075232;16.4768989
8597;60200903;Mühlwasser;Wien;49000001;48.2040209;16.4755694
8598;60200430;Großer Biberhaufen;Wien;49000001;48.202093;16.473126
8599;60200912;Naufahrtbrücke;Wien;49000001;48.1995902;16.469955
8600;60200559;Husarenweg;Wien;49000001;48.2028534;16.4645471
8601;60201067;Rallenweg;Wien;49000001;48.2044878;16.458744
8602;60201164;Schillwasserweg;Wien;49000001;48.205781;16.4528061
8603;60201163;Zillbauerplatz;Wien;49000001;48.2079063;16.4547016
8604;60200329;Fischergrund;Wien;49000001;48.2161074;16.4410023
8605;60200273;Eisstoßgasse;Wien;49000001;48.217927;16.4410023
8606;60201244;Siedlung Sonnheim;Wien;49000001;48.2206383;16.4409753
8607;60201241;Siedlung Einigkeit;Wien;49000001;48.2222543;16.4409394
8608;60200746;Veitschiweg;Wien;49000001;48.2261922;16.440589
8609;60201316;Steinbrechergasse;Wien;49000001;48.2336723;16.4387475
8610;60200081;Arminenstraße;Wien;49000001;48.2364546;16.437436
8611;60200627;Kagran >;Wien;49000001;48.2436879;16.4330791
8612;60201313;Steigenteschgasse;Wien;49000001;48.2454408;16.4395111
8613;60201034;Portnergasse;Wien;49000001;48.24434;16.4439128
8614;60200869;Mergenthalerplatz;Wien;49000001;48.243335;16.4467155
8615;60200353;Freihofsiedlung;Wien;49000001;48.2426171;16.4498237
8616;60200630;Kagraner Anger;Wien;49000001;48.2393624;16.4486379
8617;60200927;Neukagran;Wien;49000001;48.2364905;16.4474611
8618;60201234;Siebenbürgerstraße;Wien;49000001;48.2328825;16.4465
8620;60200288;Erzherzog-Karl-Straße <;Wien;49000001;48.229352;16.4521324
8621;60201292;Smolagasse;Wien;49000001;48.2275507;16.4512251
8623;60201291;Schreinerweg;Wien;49000001;48.2275746;16.4476139
